检测项,套装,副属性有效属性,部位,主属性,分数条件,倍率,分数条件,倍率,分数条件,倍率,分数条件,倍率
一速,全部,have 速度,非鞋子,全部,速度22-25,5*(速度-21),速度25-27,10*(速度-22.5),速度>=27,20*(速度-24.5),,
速度,速度,have 速度,非鞋子,全部,速度>=18，分数[65-73],1.5*(分数-64.34),速度>=18，分数[73-78],2*(分数-66.5),速度>=18，分数>=78,4*(分数-72.75),,
速度,暴击 生命 防御 免疫 穿透 激流 命中 抵抗,have 速度,非鞋子,全部,速度>=18，分数<70,4,速度>=18，分数[70-75],0.8*(分数-67.5),速度>=18，分数>=75,分数-69,,
输出,速度 破灭 暴击 穿透 激流 反击 吸血 免疫 回击,act on [攻击%，攻击，暴率，爆伤，速度],武器,全部,有效分数<69,0,有效分数[69-75],4/3*(有效分数-68.25),有效分数[75-79],2*(有效分数-70.5),有效分数>=79,3*有效分数-220
输出,速度 破灭 暴击 穿透 激流 反击 吸血 免疫 回击,act on [攻击%，攻击，暴率，爆伤，速度],头盔,全部,有效分数<69,0,有效分数[69-75],4/3*(有效分数-68.25),有效分数[75-79],2*(有效分数-70.5),有效分数>=79,3*有效分数-220
输出,速度 破灭 暴击 穿透 激流 反击 吸血 免疫 回击,act on [攻击%，攻击，暴率，爆伤，速度],防具,全部,有效分数<63,0,有效分数[63-66],4/3*(有效分数-61.5),有效分数[66-72],2*(有效分数-64),有效分数>=72,3*有效分数-200
输出,速度 破灭 暴击 穿透 激流 反击 吸血 免疫 回击,act on [攻击%，攻击，暴率，爆伤，速度],项链,暴率，爆伤,有效分数<65,0,有效分数[65-68],4/3*(有效分数-62),有效分数[68-73],7/3*(有效分数-64.5),有效分数>=73,4*有效分数-272.3
输出,速度 破灭 暴击 穿透 激流 反击 吸血 免疫 回击,act on [攻击%，攻击，暴率，爆伤，速度],戒指,攻击%,有效分数<65,0,有效分数[65-68],4/3*(有效分数-62),有效分数[68-73],7/3*(有效分数-64.5),有效分数>=73,4*有效分数-272.3
输出,速度 破灭 暴击 穿透 激流 反击 吸血 免疫 回击,act on [攻击%，攻击，暴率，爆伤，速度],鞋子,速度，攻击%,有效分数<65,0,有效分数[63-68],有效分数-62,有效分数[68-73],7/3*(有效分数-64.5),有效分数>=73,4*有效分数-272.3
抗坦(坦克),速度 生命 防御 抵抗 守护 反击 免疫 逆袭,act on [生命%，生命，防御%，防御，速度，抵抗],武器,全部,有效分数<63,0,有效分数[63-69],4/3*(有效分数-61.5),有效分数[68-73],2*(有效分数-64),有效分数>=73,3*有效分数-201
抗坦(坦克),速度 生命 防御 抵抗 守护 反击 免疫 逆袭,act on [生命%，生命，防御%，防御，速度，抵抗],头盔,全部,有效分数<69,0,有效分数[69-75],4/3*(有效分数-68.25),有效分数[75-79],2*(有效分数-70.5),有效分数>=79,3*有效分数-220
抗坦(坦克),速度 生命 防御 抵抗 守护 反击 免疫 逆袭,act on [生命%，生命，防御%，防御，速度，抵抗],防具,全部,有效分数<69,0,有效分数[69-75],4/3*(有效分数-68.25),有效分数[75-79],2*(有效分数-70.5),有效分数>=79,3*有效分数-220
抗坦(坦克),速度 生命 防御 抵抗 守护 反击 免疫 逆袭,act on [生命%，生命，防御%，防御，速度，抵抗],项链,生命%，防御%,有效分数<63,0,有效分数[63-68],4/3*(有效分数-62),有效分数[68-73],7/3*(有效分数-64.5),有效分数>=73,4*有效分数-272.3
抗坦(坦克),速度 生命 防御 抵抗 守护 反击 免疫 逆袭,act on [生命%，生命，防御%，防御，速度，抵抗],戒指,生命%，防御%，抵抗,有效分数<63,0,有效分数[63-68],4/3*(有效分数-62),有效分数[68-73],7/3*(有效分数-64.5),有效分数>=73,4*有效分数-272.3
抗坦(坦克),速度 生命 防御 抵抗 守护 反击 免疫 逆袭,act on [生命%，生命，防御%，防御，速度，抵抗],鞋子,生命%，防御%，速度,有效分数<63,0,有效分数[63-68],有效分数-62,有效分数[68-73],7/3*(有效分数-64.5),有效分数>=73,4*有效分数-272.3
纯肉(坦克),速度 生命 防御 守护 免疫 逆袭,act on [生命%，生命，防御%，防御，速度],头盔,全部,有效分数<62,0,有效分数[63-68],4/3*(有效分数-60.5),有效分数[68-72],2*(有效分数-63),有效分数>=72,3.5*有效分数-234
纯肉(坦克),速度 生命 防御 守护 免疫 逆袭,act on [生命%，生命，防御%，防御，速度],防具,全部,有效分数<62,0,有效分数[63-68],4/3*(有效分数-60.5),有效分数[68-72],2*(有效分数-63),有效分数>=72,3.5*有效分数-234
纯肉(坦克),速度 生命 防御 守护 免疫 逆袭,act on [生命%，生命，防御%，防御，速度],项链,生命%,有效分数<58,0,有效分数[58-64],1.5*(有效分数-56),有效分数[64-68],3*(有效分数-60),有效分数>=68,5*(有效分数-63.2)
纯肉(坦克),速度 生命 防御 守护 免疫 逆袭,act on [生命%，生命，防御%，防御，速度],戒指,生命%,有效分数<58,0,有效分数[58-64],1.5*(有效分数-56),有效分数[64-68],3*(有效分数-60),有效分数>=68,5*(有效分数-63.2)
